subgraph id = 6
Nreal : 78343
=================================
Partial list of 3003 members:

489	1	413	
489	1	417	
489	413	417	
507	246	306	
507	246	362	
507	246	440	
507	246	486	
507	306	362	
507	306	440	
507	306	486	
507	362	486	
507	440	486	
553	8	11	
553	9	11	
553	11	15	
553	11	25	
553	11	39	
553	11	47	
553	11	51	
553	11	81	
553	11	83	
553	11	94	
553	11	95	
553	11	107	
553	11	111	
553	11	121	
553	11	124	
553	11	126	
553	11	127	
553	11	133	
553	11	135	
553	11	148	
553	11	152	
553	11	164	
553	11	169	
553	11	170	
553	11	176	
553	11	179	
553	11	182	
553	11	195	
553	11	197	
553	11	215	
553	11	225	
553	11	229	
553	11	230	
553	11	245	
553	11	251	
553	11	256	
553	11	264	
553	11	289	
553	11	292	
553	11	295	
553	11	301	
553	11	306	
553	11	312	
553	11	320	
553	11	324	
553	11	327	
553	11	328	
553	11	329	
553	11	332	
553	11	335	
553	11	342	
553	11	343	
553	11	344	
553	11	349	
553	11	355	
553	11	368	
553	11	372	
553	11	380	
553	11	382	
553	11	385	
553	11	393	
553	11	419	
553	11	420	
553	11	440	
553	11	445	
553	11	447	
553	11	453	
553	11	463	
553	11	477	
553	11	482	
553	11	500	
553	11	509	
553	11	529	
553	11	532	
553	11	552	
553	8	552	
553	9	552	
553	15	552	
553	25	552	
553	39	552	
553	47	552	
553	51	552	
553	81	552	
553	83	552	
553	94	552	
553	95	552	
553	107	552	
553	111	552	
553	121	552	
553	124	552	
553	126	552	
553	127	552	
553	133	552	
553	135	552	
553	148	552	
553	152	552	
553	164	552	
553	169	552	
553	170	552	
553	176	552	
553	179	552	
553	182	552	
553	195	552	
553	197	552	
553	215	552	
553	225	552	
553	229	552	
553	230	552	
553	245	552	
553	251	552	
553	256	552	
553	264	552	
553	289	552	
553	292	552	
553	295	552	
553	301	552	
553	306	552	
553	312	552	
553	320	552	
553	324	552	
553	327	552	
553	328	552	
553	329	552	
553	332	552	
553	335	552	
553	342	552	
553	343	552	
553	344	552	
553	349	552	
553	355	552	
553	368	552	
553	372	552	
553	380	552	
553	382	552	
553	385	552	
553	393	552	
553	419	552	
553	420	552	
553	440	552	
553	445	552	
553	447	552	
553	453	552	
553	463	552	
553	477	552	
553	482	552	
553	500	552	
553	509	552	
553	529	552	
553	532	552	
553	8	111	
553	9	111	
553	15	111	
553	25	111	
553	39	111	
553	47	111	
553	51	111	
553	81	111	
553	83	111	
553	94	111	
553	95	111	
553	107	111	
553	111	121	
553	111	124	
